"","Model","MAE_GAM","MAE_Spline","MAE_lm","MAE_poly_12","MAE_ploy_23"
"1","pt02CLOSED.rds",0.0990358879617481,0.789956584928664,0.67387517118966,0.220165058087035,0.159179110945075
"2","pt02OPEN.rds",0.324129666633639,1.02918896586738,0.897591697189211,0.421494108100969,0.35322721061799
"3","pt03CLOSED.rds",0.215133900766417,0.851887042423831,0.820783026791658,0.286488459619969,0.24546782030156
"4","pt03OPEN.rds",0.302014409733581,0.853435045891048,0.773150002186929,0.428765640387564,0.329267226142273
"5","pt04CLOSED.rds",0.477673028659763,0.865707005518028,0.7684471693281,0.497667918447775,0.38102042912486
"6","pt04OPEN.rds",0.305002677699739,1.30471873027975,1.12936107919526,0.402833806995862,0.321975598884918
"7","pt05CLOSED.rds",0.159806199258995,0.756247021841878,0.678358067281642,0.23545860151704,0.204851483221706
"8","pt05OPEN.rds",0.258320207515941,0.984258038845534,0.914334595923273,0.329842181078458,0.297747834695804
"9","pt06OPEN.rds",0.323091525788706,1.54786843300758,1.27732577909845,0.428518681001294,0.3534317568395
"10","pt07CLOSED.rds",0.087230954997763,0.917781455029947,0.835223048132352,0.198759882398668,0.148751758684311
"11","pt07OPEN.rds",0.343789638446198,1.11704594336293,0.955617596722681,0.454289280461483,0.369657711654586
"12","pt08OPEN.rds",0.330071305481461,0.979290109365009,0.87889637445097,0.43488477589074,0.345506724065121
"13","pt09CLOSED.rds",0.166024780344161,1.02248594149824,0.975705344311017,0.339123508249074,0.30280585825504
"14","pt09OPEN.rds",0.570839558584384,1.24714395974446,1.25658906477599,0.701252850295763,0.627563144574568
"15","pt10CLOSED.rds",0.443011217279069,0.8629389413789,0.823404112157669,0.440726744496583,0.408930152633911
"16","pt10OPEN.rds",0.222267856472517,0.951818163022032,0.909381270169368,0.303266249843216,0.243374238375597
"17","pt11CLOSED.rds",0.344956347536982,0.680911258156652,0.605779728408315,0.364336084906912,0.348672594764937
"18","pt11OPEN.rds",0.214732133899449,0.7580526105014,0.676377435351696,0.281711567781783,0.240253608475841
"19","pt12CLOSED.rds",0.365737690807154,0.898824180005647,0.860416430590244,0.434152118535717,0.375623980757774
"20","pt12OPEN.rds",0.202145697954652,1.05295835171304,1.01213055083349,0.323348642127219,0.235227436918325
"21","pt14CLOSED.rds",0.281999503623146,1.02753250079691,0.928018996665684,0.388917602702772,0.330967621593005
"22","pt14OPEN.rds",0.168997766271715,1.01660212393749,0.861204614449863,0.271309163499111,0.210827099824952
"23","pt15CLOSED.rds",0.415792000277896,0.787794184123782,0.716952899654746,0.467557199419675,0.391529575437303
"24","pt15OPEN.rds",0.205418646891709,0.822683417673787,0.717294732780649,0.280626431994163,0.225720319103976
"25","pt16CLOSED.rds",0.794947576946536,1.49051663572027,1.4355432800041,0.986620835449631,0.887417002100853
"26","pt16OPEN.rds",0.44395106483761,1.35241878095504,1.23119125188478,0.557467457839276,0.453266309212009
"27","pt17CLOSED.rds",0.0746495367212807,0.605401956564518,0.593343642917237,0.134965485150175,0.124990968925046
"28","pt17OPEN.rds",0.232889210762549,0.942795387127655,0.869224872503311,0.302651859218254,0.26337131078388
"29","pt18CLOSED.rds",0.151243244245911,0.967981793616437,0.89622704596562,0.240245221469302,0.207431562892665
"30","pt18OPEN.rds",0.355041646521645,1.09487924424086,1.03709951267318,0.428693157769961,0.370955920078344
"31","pt19OPEN.rds",0.485561019016505,0.862146998734387,0.837485539700513,0.554880946066987,0.481556553235222
"32","pt20CLOSED.rds",0.3127134386296,0.927241522666029,0.850493895002177,0.393554596174635,0.360120264210933
"33","pt21CLOSED.rds",0.233615798491456,1.22390461856258,1.01914234236361,0.372151845898501,0.280371217929767
"34","pt21OPEN.rds",0.358227055246917,1.36078260629739,1.17091179383155,0.539850142808621,0.417603625443219
"35","pt22CLOSED.rds",0.423533113290256,1.33229490028117,1.17377856700663,0.499925154831223,0.38329675408257
"36","pt22OPEN.rds",0.695580538957676,1.21478425586798,1.14179562065742,0.782434820489608,0.734857444558999
"37","pt23CLOSED.rds",0.127758565197245,0.915045032922706,0.835094657276075,0.249259595446303,0.174147110576228
"38","pt23OPEN.rds",0.200166480194717,0.788892394577707,0.706078715260233,0.267628130619498,0.21396137616028
"39","pt24CLOSED.rds",0.208119495832102,1.1547107896082,1.15781283916551,0.390156053139119,0.26262080076664
"40","pt24OPEN.rds",0.27890165148896,1.04067416411231,0.986714417632005,0.375168249441482,0.293967118475912
"41","pt25OPEN.rds",0.855828979659684,1.02723180931821,0.93147698188728,0.861447911786831,0.829384464701598
"42","pt26OPEN.rds",0.234798899611298,1.30799434021953,1.22602853950342,0.426153429905734,0.305979450229975
"43","pt27OPEN.rds",0.187754669680402,0.92968270608995,0.80476702212204,0.303961290616765,0.257959217219129
"44","pt28CLOSED.rds",0.329871525560229,1.21794044015732,1.07836810650504,0.503083740693012,0.413595579226718
"45","pt28OPEN.rds",0.31693226325335,1.24973530541298,1.04121925730146,0.465363162872784,0.370813109556392
"46","pt30OPEN.rds",0.309078735663051,0.749017157548108,0.714077774724421,0.380180097027898,0.323169760362311
"47","pt31CLOSED.rds",0.103309545063598,0.678243982404359,0.660963164489247,0.204557173588041,0.144923745246567
"48","pt31OPEN.rds",0.687503487637747,1.31172976988204,1.32607117145179,0.746287055107354,0.693741409068307
"49","pt32CLOSED.rds",0.806661309979735,1.75609072141148,1.6432946393648,0.960569710491541,0.83850822200831
"50","pt32OPEN.rds",0.309836070691663,1.69386312720656,1.57391791985285,0.498225453343779,0.354454449564856
"51","pt33OPEN.rds",0.156910815428313,0.955463585241211,0.798658004203003,0.241494333814941,0.211358125720392
"52","pt34OPEN.rds",0.233805831089048,0.860390856754732,0.704190682998238,0.302785144423583,0.260389551456234
"53","pt35CLOSED.rds",0.33377194177595,1.10554008712036,0.999358719115665,0.414188706580007,0.35602984766207
"54","pt35OPEN.rds",0.36578232387902,1.25163588067891,1.11898585630043,0.472072476335217,0.451059143203901
"55","pt37CLOSED.rds",0.280011571308135,0.986943751738027,0.838185719535367,0.431303442130515,0.334216012880969
"56","pt37OPEN.rds",0.603668514526868,1.19171605771012,1.00888449120153,0.672653333500268,0.619705544768669
"57","pt38CLOSED.rds",0.237529257727308,1.06931941081164,0.838776600936001,0.389391779261645,0.325800171021534
"58","pt38OPEN.rds",0.359646916725191,1.63099207944622,1.30542577583041,0.505222070927255,0.441281715085669
"59","pt39OPEN.rds",0.273046216873795,1.11445358435157,1.07947972536337,0.351092427372582,0.312401323704243
"60","pt40OPEN.rds",0.190691284598625,0.907879294001146,0.832440778618728,0.313527032743045,0.250805673373843
"61","pt41CLOSED.rds",0.313092561132992,0.718809326404948,0.709865915645164,0.363671414847716,0.237927007867427
"62","pt41OPEN.rds",0.187948595658482,0.825977595537279,0.827559559261231,0.28203482995044,0.230520683304358
"63","pt42CLOSED.rds",0.369276647743628,0.871947912363098,0.69912559203157,0.427695878518149,0.382586152699174
"64","pt42OPEN.rds",0.748278737417853,1.51314762204711,1.35088392432826,0.88559279373486,0.728261906638073
"65","pt43OPEN.rds",0.638668656625124,1.14939298332254,1.13922704138098,0.701805086047515,0.675011627204587
"66","pt44CLOSED.rds",0.241687424759409,0.762718179421882,0.697041777705728,0.296456518835506,0.247704956632968
"67","pt44OPEN.rds",0.146324361787858,0.745243057041489,0.672142500639734,0.21360031777205,0.179852509943816
"68","pt45CLOSED.rds",0.0695426173040631,0.74254574881439,0.672088213403317,0.155578060192746,0.136292816853034
"69","pt45OPEN.rds",0.181958787226626,0.943244819981144,0.856241622495772,0.273296625761696,0.205441660039472
"70","pt46CLOSED.rds",0.098156853562976,1.03882029720895,1.01323533279643,0.21901802541232,0.154095711737534
"71","pt46OPEN.rds",0.135088460852005,0.935825605681012,0.928607549068192,0.218086735059258,0.177946337961274
"72","pt47CLOSED.rds",0.114115053300203,0.695475149514329,0.582748022965331,0.158286282177131,0.136580226312118
"73","pt47OPEN.rds",0.400050518286943,0.698822437079047,0.682161981813705,0.46866531143202,0.429096014367479
"74","pt48CLOSED.rds",0.0831947121361928,0.869390245584903,0.591504411010582,0.168865016567419,0.128898260965053
"75","pt48OPEN.rds",0.282282847911282,0.965052831405365,0.789259073576141,0.367142743207348,0.288065957448274
"76","pt50OPEN.rds",0.451004539766901,0.965443414985773,0.924865024302759,0.560524919617609,0.46229032511518
"77","pt51CLOSED.rds",0.402624613866363,0.99955363755139,0.976103429159907,0.426440521850319,0.364314322986811
"78","pt51OPEN.rds",0.27128439093183,1.5301032320012,1.43717673312987,0.395891562560524,0.306436879343645
"79","pt52CLOSED.rds",0.262946732336614,1.09038697186011,0.959089218503577,0.38349262944018,0.318232752224921
"80","pt52OPEN.rds",0.325448787727327,1.37783897707609,1.3049278508511,0.545154519830606,0.336804583060234
"81","pt53CLOSED.rds",0.490673832331176,1.03070446603858,0.846407501535594,0.58376957473379,0.500317024762965
"82","pt53OPEN.rds",0.18128195277392,1.02468479195065,0.800826579668756,0.278486019236136,0.208813617634599
"83","pt54CLOSED.rds",0.108669006074159,0.665764865996514,0.648144395356759,0.168634344083119,0.142243911888231
"84","pt54OPEN.rds",0.600513589497681,0.816418649027857,0.787697383910643,0.660130875997297,0.624810915382876
"85","pt55CLOSED.rds",0.227444863563924,0.813953751690554,0.698112890597932,0.356259750676145,0.299791111489985
"86","pt55OPEN.rds",0.25963010877048,0.899503835371579,0.831910155885957,0.390207729814719,0.302843574559247
"87","pt56OPEN.rds",0.213610269896328,0.950273121806194,0.854918928422022,0.324034687197619,0.264900179031469
"88","pt57CLOSED.rds",0.483330857864823,1.10256253910295,0.921481096400879,0.494448748215385,0.398035536919861
"89","pt57OPEN.rds",0.211597827159582,1.07824184315228,0.876014755247476,0.301678899238145,0.247176433455762
"90","pt58CLOSED.rds",0.147391385980277,0.661175065909592,0.634871702160351,0.22776444029142,0.204140001038538
"91","pt58OPEN.rds",0.231380240474792,1.09776086198366,1.03859271048523,0.3659046001968,0.315688431483931
"92","pt59OPEN.rds",0.370566543712964,0.995382814445355,0.868705033396408,0.447041949172475,0.39232900762908
"93","pt60OPEN.rds",0.410580493207141,1.04468481087476,0.992426173200062,0.463463308137452,0.408159943178141
"94","pt61OPEN.rds",0.359388092287763,1.12424370077142,1.02749024895176,0.471464253518892,0.413517315035217
